;EEX Power Derivatives Germany Base Month Option;;;;;;;;;;;;;;;;;;;;;;;;
;Instruments;;;;;;;Settlement;;Exchange;;;;;;;;;;;;;Trade Registration;;
Trading Date;Product;Underlying;Maturity;Delivery Start;Delivery End;Lot Size;Type;"Settlement
Price";Strike;Open Price;"Timestamp
Open Price";High Price;"Timestamp
High Price";Low Price;"Timestamp
Low Price";Last Price;"Timestamp
Last Price";Traded Lots;Traded Volume;Number of Trades;Open Interest Volume;Open Interest Lots;Traded Lots;Traded Volume;Number of Trades
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;6,654 EUR/MWh;35,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;5,715 EUR/MWh;34,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;4,805 EUR/MWh;33,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;3,937 EUR/MWh;32,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;3,125 EUR/MWh;31,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;2,388 EUR/MWh;30,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;1,745 EUR/MWh;29,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;1,210 EUR/MWh;28,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;0,791 EUR/MWh;27,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;0,485 EUR/MWh;26,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;0,278 EUR/MWh;25,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;P;0,148 EUR/MWh;24,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,002 EUR/MWh;44,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,003 EUR/MWh;43,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,005 EUR/MWh;42,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,007 EUR/MWh;41,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,012 EUR/MWh;40,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,019 EUR/MWh;39,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,029 EUR/MWh;38,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,044 EUR/MWh;37,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,067 EUR/MWh;36,500 EUR/MWh;;;;;;;;;;;;;;;;
