Trading Day,Product,Maturity,Delivery Start,Delivery End,Lot Size,Settlement Price,Open Price,Timestamp Open Price ,High Price,Timestamp High Price,Low Price,Timestamp Low Price,Last  Price,Timestamp Last Price,Traded Lots,Traded Volume,Number of Trades,Open Interest Volume (prev. day),Open Interest Lots (prev. day),Traded Lots,Traded Volume,Number of Trades
12/23/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,31.49,,,,,,,,,,,,"131,604,672 MWh","176,888",,,
12/23/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,39.25,40.15,2019-12-23T08:35:02,40.15,2019-12-23T08:35:02,39.15,2019-12-23T16:13:32,39.15,2019-12-23T16:13:48,500,"372,000 MWh",108,"17,948,256 MWh","24,124","1,133","842,952 MWh",137
12/23/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,43.4,43.95,2019-12-23T09:49:23,44,2019-12-23T09:49:24,43,2019-12-23T17:59:25,43,2019-12-23T17:59:25,147,"102,312 MWh",45,"6,658,632 MWh","9,567",321,"223,416 MWh",40
12/23/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,38.75,40.15,2019-12-23T08:01:31,40.15,2019-12-23T08:01:31,38.75,2019-12-23T15:59:27,38.75,2019-12-23T15:59:38,366,"271,938 MWh",86,"3,671,163 MWh","4,941",184,"136,712 MWh",32
12/23/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,37.61,,,,,,,,,,,,"95,040 MWh",132,,,
12/23/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,37.55,,,,,,,,,,,,"3,720 MWh",5,,,
12/23/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,39.01,,,,,,,,,,,,"6,480 MWh",9,,,
12/23/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,41.19,,,,,,,,,,,,,,,,
12/23/2019,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,39.63,,,,,,,,,,,,,,,,
12/23/2019,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,43.76,,,,,,,,,,,,,,,,
12/20/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,31.71,,,,,,,,,,,,"131,604,672 MWh","176,888",,,
12/20/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,41.78,41.6,2019-12-20T08:25:05,41.9,2019-12-20T16:56:56,41.35,2019-12-20T10:33:16,41.65,2019-12-20T17:48:26,400,"297,600 MWh",115,"17,149,200 MWh","23,050","1,484","1,104,096 MWh",158
12/20/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,44.76,44.65,2019-12-20T08:41:03,44.75,2019-12-20T09:29:10,44.5,2019-12-20T10:35:21,44.75,2019-12-20T16:46:53,162,"112,752 MWh",39,"6,417,816 MWh","9,221",506,"352,176 MWh",46
12/20/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,40.2,40.65,2019-12-20T08:45:56,40.65,2019-12-20T08:45:56,40.1,2019-12-20T10:45:19,40.15,2019-12-20T17:40:53,237,"176,091 MWh",64,"3,273,658 MWh","4,406",99,"73,557 MWh",12
