;;;;;;;;;;;;;;;;;;
;EEX Power Derivatives Phelix-DE-Base-Month-Future;;;;;;;;;;;;;;;;;
Trading Day;Contract;Delivery Period;Delivery Start;Delivery End;Contract Volume;Open Price;High Price;Low Price;Last Price;"Settlement
Price";Exchange Volume MWh;Exchange Traded Contracts;Exchange Number of Trades;TradeReg Volume MWh;TradeReg Traded Contracts;TradeReg Number of Trades;Open Interest MWh (prev. day);Open Interest Contracts (prev. day)
21-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;35,93;0;0;0;0;0;0;0;0
20-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;30,92;0;0;0;0;0;0;4161192;5593
20-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;42,1;42,5;42,1;42,5;42,58;51336;69;12;113832;153;6;1643496;2209
20-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;44,35;44,5;44,35;44,5;44,64;19488;29;4;0;0;0;387744;577
20-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;37,7;37,95;37,7;37,95;38,15;9659;13;3;0;0;0;591428;796
20-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;35,97;0;0;0;0;0;0;162000;225
20-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;33,9;0;0;0;0;0;0;0;0
20-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;35,92;0;0;0;0;0;0;0;0
20-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;35,22;0;0;0;0;0;0;0;0
20-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;36,79;0;0;0;0;0;0;0;0
20-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
19-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;31,39;0;0;0;0;0;0;4161192;5593
19-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;42,25;42,35;42,25;42,25;42,34;61008;82;15;18600;25;5;1575048;2117
19-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;44,8;44,8;44,4;44,4;44,48;19488;29;7;3360;5;1;370272;551
19-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;37,9;37,9;37,85;37,85;38,01;6687;9;3;0;0;0;584741;787
